"FMult","F_2024","Rec_2024"
"Fsq1.6*0",0,6029030
"Fsq1.6*1",1.641,6029030
"Fsq1.6*1.2",1.969,6029030
"Fsq1.6*1.6",2.626,6029030
"Fsq1.6*2",3.282,6029030
"Fsq1.6*9.4
p(SSB2024<Blim)=5%",6.669,6029030
"Fsq1.6*12.3
p(SSB2024<Blim)=50%",6.879,6029030
"Fsq1.6*4.8
p(SSB2025<Blim)=5%",6.339,6029030
"Fsq1.6*12.8
p(SSB2025<Blim)=50%",6.911,6029030
