"","Scenario.Type","Val","SSB_2024","SSB_2024_SD","SSB_2025","SSB_2025_SD","F_2024","F_2025","Rec_2024","Rec_2025","Catch_2024","Catch_2025","pBlim_2024","pBlim_2025"
"1","FMult",0,8071.69,1778.09,11494.1,1095.02,0,0,6029030,6029030,0,0,0.011,0
"2","FMult",1,7639,1671.99,8949.79,667.922,1.64098,1.64098,6029030,6029030,5008.941,5745.7,0.015,0
"3","FMult",1.2,7555.3,1651.81,8642.42,628.198,1.96918,1.96918,6029030,6029030,5598.406,6284.817,0.016,0
"4","FMult",1.6,7390.65,1612.45,8130.94,567.329,2.62557,2.62557,6029030,6029030,6552.991,7103.55,0.018,0
"5","FMult",2,7229.62,1574.37,7714.61,522.797,3.28197,3.28197,6029030,6029030,7295.541,7696.144,0.02,0
"6","FMult",9.36,4822.43,1057.58,4685.34,420.38,6.66863,6.66863,6029030,6029030,9769.26,9425.86,0.218,0.052
"7","FMult",12.3,4103.16,921.934,3994.83,431.553,6.87865,6.87865,6029030,6029030,9923.57,9547.94,0.455,0.505
"8","FMult",4.75,6213.96,1344.22,6012.29,424.4,6.33919,6.34034,6029030,6029030,9495.23,9213.42,0.05,0
"9","FMult",12.75,4003.01,903.647,3898.55,433.046,6.91079,6.91079,6029030,6029030,9945.94,9565.76,0.499,0.593
