"FMult","F_2024","Rec_2024"
"F=0",0,6029030
"Fsq=F2024",1.641,6029030
"F=Fsq x 1.2",1.969,6029030
"F=Fsq x 1.6",2.626,6029030
"F=Fsq x 2",3.282,6029030
"p(SSB_2024<Blim)=5%",2.79,6029030
"p(SSB_2024<Blim)=50%",6.701,6029030
"p(SSB_2025<Blim)=5%",6.482,6029030
"p(SSB_2025<Blim)=50%",6.661,6029030
