"","Scenario.Type","Val","SSB_2024","SSB_2024_SD","SSB_2025","SSB_2025_SD","F_2024","F_2025","Rec_2024","Rec_2025","Catch_2024","Catch_2025","pBlim_2024","pBlim_2025"
"1","FMult",0,8071.69,1778.09,11494.1,1095.02,0,0,6029030,6029030,0,0,0.03,0
"2","FMult",1,7639,1671.99,8949.79,667.922,1.64098,1.64098,6029030,6029030,5008.941,5745.7,0.04,0
"3","FMult",1.2,7555.3,1651.81,8642.42,628.198,1.96918,1.96918,6029030,6029030,5598.406,6284.817,0.043,0
"4","FMult",1.6,7390.65,1612.45,8130.94,567.329,2.62557,2.62557,6029030,6029030,6552.991,7103.55,0.049,0
"5","FMult",2,7229.62,1574.37,7714.61,522.797,3.28197,3.28197,6029030,6029030,7295.541,7696.144,0.055,0
"6","FMult",1.7,7350.06,1602.81,8019.53,554.949,2.78967,2.78967,6029030,6029030,6755.177,7268.641,0.05,0
"7","FMult",9.8125,4703.98,1034.69,4571.73,422.059,6.70095,6.70095,6029030,6029030,9793.97,9445.31,0.504,0.633
"8","FMult",6.75,5566.53,1206.73,5398.19,415.331,6.48218,6.48218,6029030,6029030,9619.33,9308.62,0.24,0.05
"9","FMult",9.25,4851.67,1063.27,4713.38,419.989,6.66077,6.66077,6029030,6029030,9763.19,9421.09,0.449,0.502
