"esc","F_2024","Catch2024","SSB2024","SSB2025","p(SSB2024<Blim)","p(SSB2025<Blim)"
"F=0",0,0,8071.69,13427.5,0.196,0
"Fsq=F2024",1.641,5149.284,7639,10645,0.258,0
"F=Fsq x 1.2",1.969,5764.954,7555.3,10293,0.272,0
"F=Fsq x 1.6",2.626,6770.096,7390.65,9695.14,0.301,0
"F=Fsq x 2",3.282,7560.719,7229.62,9196.14,0.333,0
"p(SSB_2024<Blim)=5%",0,0,8071.69,13427.5,0.196,0
"p(SSB_2024<Blim)=50%",5.382,9318.66,6547.49,7693.85,0.501,0.026
"p(SSB_2025<Blim)=5%",5.631,9477.62,6443.81,7504.3,0.531,0.051
"p(SSB_2025<Blim)=50%",6.424,9953.02,5821.1,6546.73,0.719,0.504
