"FMult","F_2024","Rec_2024"
"Fsq1.6*0",0,7317300
"Fsq1.6*1",1.641,7268860
"Fsq1.6*1.2",1.969,7258930
"Fsq1.6*1.6",2.626,7238820
"Fsq1.6*2",3.282,7218390
"Fsq1.6*4.1
p(SSB2024<Blim)=5%",5.631,7106100
"Fsq1.6*5.9
p(SSB2024<Blim)=50%",6.424,6998930
"Fsq1.6*3.8
p(SSB2025<Blim)=5%",5.382,7122240
"Fsq1.6*0
p(SSB2025<Blim)=50%",0,7317300
