"","Scenario.Type","Val","SSB_2024","SSB_2024_SD","SSB_2025","SSB_2025_SD","F_2024","F_2025","Rec_2024","Rec_2025","Catch_2024","Catch_2025","pBlim_2024","pBlim_2025"
"1","FMult",0,8071.69,1778.09,13427.5,1382.77,0,0,7317300,7677560,0,0,0.196,0
"2","FMult",1,7639,1671.99,10645,890.555,1.64098,1.64098,7268860,7531480,5149.284,6878.71,0.258,0
"3","FMult",1.2,7555.3,1651.81,10293,840.272,1.96918,1.96918,7258930,7507910,5764.954,7532.455,0.272,0
"4","FMult",1.6,7390.65,1612.45,9695.14,761.623,2.62557,2.62557,7238820,7464340,6770.096,8520.907,0.301,0
"5","FMult",2,7229.62,1574.37,9196.14,703.303,3.28197,3.28197,7218390,7424090,7560.719,9227.303,0.333,0
"6","FMult",0,8071.69,1778.09,13427.5,1382.77,0,0,7317300,7677560,0,0,0.196,0
"7","FMult",3.8,6547.49,1417.87,7693.85,589.282,5.38188,5.37487,7122240,7275260,9318.66,10524.03,0.501,0.026
"8","FMult",4.09,6443.81,1394.77,7504.3,582.594,5.63084,5.62336,7106100,7252780,9477.62,10615.16,0.531,0.051
"9","FMult",5.937,5821.1,1259.93,6546.73,563.785,6.42411,6.42411,6998960,7122130,9953.02,10806.33,0.719,0.504
