"PELAGO","Passed","Passed","Passed","Failed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"ECOCADIZ","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"BOCADEVA","Passed","Passed","Passed","Passed","Passed","Failed","Passed","Passed","Passed","Passed","Passed","Passed","Failed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"ECORECLUTAS","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"SEINE","Passed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PELAGO","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Failed","Failed","Passed","Passed","Passed"
"ECOCADIZ","Failed","Failed","Failed","Failed","Failed","Failed","Failed","Passed","Failed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"ECORECLUTAS","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Failed","Failed","Passed",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEINE_Q1",NA,"Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"SEINE_Q2",NA,"Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"SEINE_Q3",NA,"Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
"SEINE_Q4",NA,"Passed","Passed","Failed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed","Passed"
