"FMult","F_2024","Rec_2024"
"F=Fsq x 0",0,7317300
"F=Fsq x 1",1.641,7268860
"F=Fsq x 1.2",1.969,7258930
"F=Fsq x 1.6",2.626,7238820
"F=Fsq x 2",3.282,7218390
"p(SSB_2024<Blim)=5%",2.872,7231200
"p(SSB_2024<Blim)=50%",6.7,6749750
"p(SSB_2025<Blim)=5%",6.594,6849810
"p(SSB_2025<Blim)=50%",6.795,6656210
