"","Scenario.Type","Val","SSB_2024","SSB_2024_SD","SSB_2025","SSB_2025_SD","F_2024","F_2025","Rec_2024","Rec_2025","Catch_2024","Catch_2025","pBlim_2024","pBlim_2025"
"1","FMult",0,8071.69,1778.09,13427.5,1382.77,0,0,7317300,7677560,0,0,0.03,0
"2","FMult",1,7639,1671.99,10645,890.555,1.64098,1.64098,7268860,7531480,5149.284,6878.71,0.04,0
"3","FMult",1.2,7555.3,1651.81,10293,840.272,1.96918,1.96918,7258930,7507910,5764.954,7532.455,0.043,0
"4","FMult",1.6,7390.65,1612.45,9695.14,761.623,2.62557,2.62557,7238820,7464340,6770.096,8520.907,0.049,0
"5","FMult",2,7229.62,1574.37,9196.14,703.303,3.28197,3.28197,7218390,7424090,7560.719,9227.303,0.055,0
"6","FMult",8.3125,5108.24,1113.76,5632.79,565.572,6.5938,6.5938,6849810,6962640,10034.83,10698.22,0.362,0.052
"7","FMult",11.125,4376.7,972.599,4699.63,577.456,6.79471,6.79471,6656210,6747720,10111.38,10522.58,0.636,0.511
"8","FMult",9.8,4707.22,1035.31,5120.5,571.769,6.70006,6.70006,6749750,6852660,10077.97,10611.83,0.503,0.239
"9","FMult",1.75,7329.85,1598.02,9498.59,737.792,2.87172,2.87172,7231200,7448940,7087.189,8811.894,0.051,0
