"esc","F_2024","Catch2024","SSB2024","SSB2025","p(SSB2024<Blim)","p(SSB2025<Blim)"
"F=Fsq x 0",0,0,8071.69,13427.5,0.03,0
"F=Fsq x 1",1.641,5149.284,7639,10645,0.04,0
"F=Fsq x 1.2",1.969,5764.954,7555.3,10293,0.043,0
"F=Fsq x 1.6",2.626,6770.096,7390.65,9695.14,0.049,0
"F=Fsq x 2",3.282,7560.719,7229.62,9196.14,0.055,0
"p(SSB_2024<Blim)=5%",2.872,7087.189,7329.85,9498.59,0.051,0
"p(SSB_2024<Blim)=50%",6.7,10077.97,4707.22,5120.5,0.503,0.239
"p(SSB_2025<Blim)=5%",6.594,10034.83,5108.24,5632.79,0.362,0.052
"p(SSB_2025<Blim)=50%",6.795,10111.38,4376.7,4699.63,0.636,0.511
