"FMult","F_2022","Rec_2022"
"Fsq0.9*0",0,7316750
"Fsq0.9*1",0.893,7316750
"Fsq0.9*1.2",1.071,7316750
"Fsq0.9*1.6",1.428,7316750
"Fsq0.9*2",1.786,7316750
"Fsq0.9*9.4
p(SSB2022<Blim)=5%",6.276,7316750
"Fsq0.9*12.3
p(SSB2022<Blim)=50%",6.642,7316750
"Fsq0.9*4.8
p(SSB2023<Blim)=5%",4.241,7316750
"Fsq0.9*12.8
p(SSB2023<Blim)=50%",6.666,7316750
