"","Scenario.Type","Val","SSB_2024","SSB_2024_SD","SSB_2025","SSB_2025_SD","F_2024","F_2025","Rec_2024","Rec_2025","Catch_2024","Catch_2025","pBlim_2024","pBlim_2025"
"1","FMult",0,8071.69,1778.09,11494.1,1095.02,0,0,6029030,6029030,0,0,0.196,0
"2","FMult",1,7639,1671.99,8949.79,667.922,1.64098,1.64098,6029030,6029030,5008.941,5745.7,0.258,0
"3","FMult",1.2,7555.3,1651.81,8642.42,628.198,1.96918,1.96918,6029030,6029030,5598.406,6284.817,0.272,0
"4","FMult",1.6,7390.65,1612.45,8130.94,567.329,2.62557,2.62557,6029030,6029030,6552.991,7103.55,0.301,0.003
"5","FMult",2,7229.62,1574.37,7714.61,522.797,3.28197,3.28197,6029030,6029030,7295.541,7696.144,0.333,0.013
"6","FMult",0,8071.69,1778.09,11494.1,1095.02,0,0,6029030,6029030,0,0,0.196,0
"7","FMult",3.8,6547.49,1417.87,6521.82,435.34,5.37463,5.37382,6029030,6029030,8936.79,8873.37,0.501,0.528
"8","FMult",2.4025,7071.13,1537.32,7357.95,488.842,3.94246,3.94246,6029030,6029030,7900.912,8152.265,0.368,0.05
"9","FMult",3.74375,6567.8,1422.41,6550.78,436.455,5.32668,5.32585,6029030,6029030,8906.78,8853.86,0.496,0.501
