"FMult","F_2024","Rec_2024"
"F=0",0,7317300
"Fsq=F2024",1.641,7268860
"F=Fsq x 1.2",1.969,7258930
"F=Fsq x 1.6",2.626,7238820
"F=Fsq x 2",3.282,7218390
"p(SSB_2024<Blim)=5%",6.339,7068690
"p(SSB_2024<Blim)=50%",6.911,6535800
"p(SSB_2025<Blim)=5%",6.74,6710720
"p(SSB_2025<Blim)=50%",6.972,6470300
